"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - att_loss","Group: general-distillation - att_loss__MIN","Group: general-distillation - att_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - att_loss","Group: general-distillation-attn - att_loss__MIN","Group: general-distillation-attn - att_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - att_loss","Group: general-distillation-rep - att_loss__MIN","Group: general-distillation-rep - att_loss__MAX"
"1","7.5","0","15","6.555881219144182","6.443930953741074","6.619124443300309","7.5","0","15","6.555881219144182","6.443930953741074","6.619124443300309","7.5","0","15","6.555881219144182","6.443930953741074","6.619124443300309"
"3","23.5","16","31","6.661045876861207","6.633546461661656","6.671197679307726","23.5","16","31","6.660659530674973","6.6333746910095215","6.670837605441058","23.5","16","31","6.662048810280796","6.633998582760493","6.672133021884495"
"5","39.5","32","47","6.662334247109491","6.654314690828324","6.672480799935081","39.5","32","47","6.660592106547648","6.652238303736636","6.670683145523071","39.5","32","47","6.666740456886687","6.657493734359742","6.67702214826237"
"7","55.5","48","63","6.649386503065886","6.643277481982582","6.654953198170099","55.5","48","63","6.645115376377451","6.639578417727821","6.649946828526775","55.5","48","63","6.6600387013005555","6.652519163332488","6.667425181922011"
"9","71.5","64","79","6.641929463783003","6.638245831907185","6.645544071197509","71.5","64","79","6.6339254596677515","6.630024436252569","6.637727136611939","71.5","64","79","6.6618466058857155","6.658472580452488","6.665022068023681"
"11","87.5","80","95","6.620539740616618","6.609762778456923","6.626573134552348","87.5","80","95","6.607733026700284","6.595761134362346","6.615058961239728","87.5","80","95","6.652526098388702","6.644799826656961","6.656443909527784"
"13","103.5","96","111","6.585459816196596","6.579267900993382","6.595539398740923","103.5","96","111","6.567022967545214","6.559791297394765","6.578339152358936","103.5","96","111","6.632107311990969","6.628023541301762","6.638934429752769"
"15","119.5","112","127","6.576811302872453","6.565971443699856","6.582913420507027","119.5","112","127","6.5517769441685285","6.539414065491919","6.559263753693133","119.5","112","127","6.641239808905862","6.634544050927255","6.645785816316682"
"17","135.5","128","143","6.55196090555694","6.549072353865328","6.558166162056081","135.5","128","143","6.519962007314278","6.516228952607908","6.527886157526689","135.5","128","143","6.6362611320921125","6.633330454929269","6.639393636989261"
"19","151.5","144","159","6.53519411760046","6.527555135350243","6.543025761842728","151.5","144","159","6.495811760963858","6.486498340917605","6.505365795210788","151.5","144","159","6.641678111450885","6.638000383831206","6.645442744224302"
"21","167.5","160","175","6.497870892958543","6.4928420914544","6.505448496057873","167.5","160","175","6.451308247330557","6.444539822744169","6.460610371260416","167.5","160","175","6.627746579157287","6.624907321088454","6.629476646582286"
"23","183.5","176","191","6.475986657282976","6.466331318837856","6.484942116167234","183.5","176","191","6.422050052878469","6.410753670933975","6.4326777406360796","183.5","176","191","6.631827330543265","6.627900626646911","6.634576391914616"
"25","199.5","192","207","6.448043783817381","6.441310871078308","6.452260080575943","199.5","192","207","6.387054749581598","6.378711435019252","6.3929494035243986","199.5","192","207","6.63130111511301","6.628568412059575","6.634781276138083"
"27","215.5","208","223","6.420019450569691","6.414310922558676","6.4282389879226685","215.5","208","223","6.352329036028121","6.345075246738374","6.3620620767275495","215.5","208","223","6.632586739408779","6.630853203087371","6.634212203089966"
"29","231.5","224","239","6.388725801308858","6.3828464549867","6.39292404980495","231.5","224","239","6.315210649660416","6.308078770846564","6.320744703555929","231.5","224","239","6.631757682543353","6.62816780188988","6.633628265196536"
"31","247.5","240","255","6.355538071669887","6.348509947147854","6.361461608640609","247.5","240","255","6.27723569674573","6.269238317082773","6.284195610592442","247.5","240","255","6.63060712055692","6.628321321437537","6.633483155068808"
"33","263.5","256","271","6.325285099463576","6.316715648819728","6.333135467587096","263.5","256","271","6.243455197398137","6.234254173152355","6.251999821626779","263.5","256","271","6.634046301810584","6.632332989210572","6.635209555046581"
"35","279.5","272","287","6.290382960281173","6.284296692557957","6.297967553138733","279.5","272","287","6.206460737114845","6.200067372529403","6.214370674746377","279.5","272","287","6.633454507611655","6.632061986114448","6.6356860252048655"
"37","295.5","288","303","6.2617897928581385","6.252938600505597","6.271218198376733","295.5","288","303","6.177194294616715","6.1683419972314475","6.186608434528918","295.5","288","303","6.640863011053099","6.6384917050105","6.642981662718079"
"39","311.5","304","319","6.228059471920012","6.219945030779533","6.234806280105542","311.5","304","319","6.143959000016725","6.13603516401073","6.150498640078765","311.5","304","319","6.643431368153023","6.641353545280603","6.645261367665062"
"41","327.5","320","335","6.196749412356517","6.190036283342387","6.2038994148010165","327.5","320","335","6.113718750853639","6.107273304338071","6.120574988969943","327.5","320","335","6.649171750537707","6.647449325497558","6.651366957964378"
"43","343.5","336","351","6.168382637671578","6.162614703687122","6.174408846816351","343.5","336","351","6.086618860261668","6.08113437289025","6.092351098393285","343.5","336","351","6.65924329107885","6.656076469393664","6.662565040724036"
"45","359.5","352","367","6.1355358376649525","6.12851190761644","6.142220422956679","359.5","352","367","6.055161803596675","6.048486627851214","6.061495402124193","359.5","352","367","6.664326207512162","6.6616673290729524","6.666819240423951"
"47","375.5","368","383","6.107490064421045","6.100272287445864","6.114480530962031","375.5","368","383","6.028843320651041","6.022108297459927","6.035341626152079","375.5","368","383","6.676269461885711","6.673677246621314","6.678535411068793"
"49","391.5","384","399","6.078335648440443","6.071029142086139","6.0851726410340286","391.5","384","399","6.001886728151075","5.9951404116777365","6.0081574272136296","391.5","384","399","6.688537081198187","6.685183100487776","6.691548256049479"
"51","407.5","400","415","6.0478811094800395","6.040456092458053","6.055118931274788","407.5","400","415","5.97412618542398","5.967373287921634","5.980683736357034","407.5","400","415","6.700202584911733","6.697298214131711","6.702720797592695"
"53","423.5","416","431","6.020727197306225","6.014617498338153","6.02656703400162","423.5","416","431","5.949894124043424","5.94448236850018","5.9550212273057905","423.5","416","431","6.717398063471144","6.712581352805191","6.72188349389698"
"55","439.5","432","447","5.99691063524822","5.991659182010416","6.001597449454394","439.5","432","447","5.929040227593213","5.924461241674157","5.9330383333292875","439.5","432","447","6.740309707287933","6.733507653799924","6.746122168429071"
"57","455.5","448","463","5.97125324301766","5.964612095101366","5.9779018665614885","455.5","448","463","5.906199057778439","5.9001758620705544","5.912216449515862","455.5","448","463","6.761674540275204","6.757352060916131","6.765861893420338"
"59","471.5","464","479","5.9461566955129035","5.941048396391963","5.951173229742858","471.5","464","479","5.883695991687235","5.879168614356685","5.888125756029355","471.5","464","479","6.78447752588252","6.777729138479394","6.790936148328254"
"61","487.5","480","495","5.923022724184995","5.917247067306165","5.927604892214791","487.5","480","495","5.862988952389324","5.857745414064102","5.867014180929934","487.5","480","495","6.811232862572853","6.803671450399961","6.816925653174715"
"63","503.5","496","511","5.9016283771437825","5.8959930201779365","5.906806461394779","503.5","496","511","5.8438479855392655","5.838700262798708","5.848518319546231","503.5","496","511","6.841120194427612","6.834318595746207","6.847257866551498"
"65","519.5","512","527","5.877400701109621","5.87167253946241","5.882751021935389","519.5","512","527","5.821593495448606","5.816282189626829","5.826525966937726","519.5","512","527","6.867152241367035","6.860365783709746","6.873045691268704"
"67","535.5","528","543","5.854611109395696","5.849255460495233","5.860382998167579","535.5","528","543","5.800415240176969","5.79539137009425","5.805856630428513","535.5","528","543","6.895720449687378","6.889757099436291","6.902390704203222"
"69","551.5","544","559","5.8301125594413525","5.824646418386533","5.836503097112628","551.5","544","559","5.777171976686537","5.771965700137605","5.783299237057783","551.5","544","559","6.921593529581941","6.916617580514023","6.928167723671893"
"71","567.5","560","575","5.807456283512633","5.802689997244668","5.812752763570194","567.5","560","575","5.755472435647944","5.750903193791155","5.760570752368847","567.5","560","575","6.950981569093213","6.943756590007057","6.958819956493627"
"73","583.5","576","591","5.784552350309813","5.779920615085786","5.789170947793412","583.5","576","591","5.733285010225625","5.728789137463799","5.737761812463199","583.5","576","591","6.980244711982188","6.972186224101341","6.988354469292867"
"75","599.5","592","607","5.764492954674386","5.759310218826734","5.769659881989162","599.5","592","607","5.7136737910677935","5.7085605638998524","5.718763947685559","599.5","592","607","7.014548422988951","7.007227703332901","7.021777801356689"
"77","615.5","608","623","5.7432747595104425","5.740035842491706","5.747068002626493","615.5","608","623","5.692584044322126","5.689335227490619","5.696387126654773","615.5","608","623","7.047732348022848","7.037753703919324","7.058552089651394"
"79","631.5","624","639","5.724112235268145","5.719233072764059","5.729342983493322","631.5","624","639","5.673280362968243","5.668336345032848","5.678570105493823","631.5","624","639","7.08520455763845","7.077499340606641","7.0935166508938785"
"81","647.5","640","655","5.705439370125205","5.700855517914785","5.70957716876342","647.5","640","655","5.654222655395028","5.649522152318016","5.658479942031849","647.5","640","655","7.124432506080856","7.114597139167197","7.133407219232811"
"83","663.5","656","671","5.685199694575798","5.680493891106021","5.690214294087456","663.5","656","671","5.633393010286887","5.628523091460375","5.638569402946047","663.5","656","671","7.163128444242773","7.154195186244436","7.172512547257935"
"85","679.5","672","687","5.667110844735127","5.662690497485074","5.671522813860108","679.5","672","687","5.614481727461417","5.609862420342186","5.619098624937674","679.5","672","687","7.207977719884047","7.197447047163458","7.218447361686013"
"87","695.5","688","703","5.650129338742587","5.646678893211978","5.654341953067944","695.5","688","703","5.596527980815705","5.59281962139859","5.600984736249365","695.5","688","703","7.257886652291519","7.246198178365312","7.27075703837131"
"89","711.5","704","719","5.634540000815909","5.630860614478381","5.6382345615812905","711.5","704","719","5.579792021431508","5.575831781914865","5.583768457676587","711.5","704","719","7.314031403630398","7.300219499328163","7.327692592202002"
"91","729.5","720","739","5.165788553700089","4.959399700164795","5.622359281385338","729.5","720","739","5.065061464904801","4.843534787495931","5.566673617441576","729.5","720","739","9.715852979824124","7.359547528264287","10.685186068216959"
"93","747.5","740","755","5.0111150624419745","4.990254416610256","5.025709862179227","747.5","740","755","4.894006319780095","4.874006271362305","4.908069165547689","747.5","740","755","10.679534064534751","10.580799490213394","10.749392773242707"
