"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - loss","Group: general-distillation - loss__MIN","Group: general-distillation - loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - loss","Group: general-distillation-attn - loss__MIN","Group: general-distillation-attn - loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - loss","Group: general-distillation-rep - loss__MIN","Group: general-distillation-rep - loss__MAX"
"1","7.5","0","15","6.1312247066397205","6.124767333269119","6.134949699524911","7.5","0","15","0.4097425761965114","0.4027456846088171","0.4136952777062693","7.5","0","15","5.721482194488277","5.720909309387207","5.722265614403619"
"3","23.5","16","31","6.137174185520215","6.1357662578423815","6.137946181827122","23.5","16","31","0.4162912206671858","0.4145859181880951","0.4169273503400661","23.5","16","31","5.720855467651598","5.7205167952038","5.721168051163356"
"5","39.5","32","47","6.135560748170053","6.134406621832596","6.136203426912607","39.5","32","47","0.416287006659228","0.4157648939835398","0.41691769659519196","39.5","32","47","5.719149365300288","5.7184875538474635","5.719961535930634"
"7","55.5","48","63","6.131317243162983","6.130635670253208","6.132184864145465","55.5","48","63","0.41531971102359067","0.41497365110798884","0.41562167678292344","55.5","48","63","5.715692132655958","5.714729605697271","5.716707459517887"
"9","71.5","64","79","6.1258150804239895","6.12441993209551","6.127430485354529","71.5","64","79","0.41462034122923447","0.41437652726578555","0.41485794603824616","71.5","64","79","5.710620854752942","5.709271209045026","5.712097836865319"
"11","87.5","80","95","6.117859396877853","6.115464063215006","6.120041001926769","87.5","80","95","0.41298331416876777","0.4122350708976466","0.413441185077483","87.5","80","95","5.703954490494698","5.702220332560115","5.705771996216341"
"13","103.5","96","111","6.107390718523191","6.105052017844846","6.110096064897684","103.5","96","111","0.4104389354715759","0.40998695608717284","0.4111461970224335","103.5","96","111","5.695619177422605","5.693522145395321","5.697823831668267"
"15","119.5","112","127","6.097085999202331","6.093939693301332","6.100006794929504","119.5","112","127","0.40948605901053303","0.40871337909324496","0.40995398460582083","119.5","112","127","5.685786242188272","5.6832998500150795","5.688376857837041"
"17","135.5","128","143","6.08413808260578","6.081277574811663","6.087413982433431","135.5","128","143","0.40749762545714235","0.40726430953799425","0.40799288484541807","135.5","128","143","5.674313272798142","5.671551407006559","5.677220731973648"
"19","151.5","144","159","6.070535239575287","6.066997553487557","6.074197900922675","151.5","144","159","0.4059882350602411","0.40540614630735033","0.40658536220067426","151.5","144","159","5.661672992716155","5.658591669554994","5.664867752476742"
"21","167.5","160","175","6.054180176772125","6.050471981026848","6.05815694019908","167.5","160","175","0.4032067654581598","0.40278373892151054","0.403788148203776","167.5","160","175","5.647558716922912","5.6441437933180065","5.6510837858631495"
"23","183.5","176","191","6.037601381424375","6.033290467125317","6.0419589008973995","183.5","176","191","0.4013781283049043","0.4006721044333734","0.40204235878975497","183.5","176","191","5.632254816692382","5.628525237190505","5.636074909697408"
"25","199.5","192","207","6.019383464163864","6.014995363534215","6.023700957298279","199.5","192","207","0.39919092184884986","0.39866946468870323","0.3995593377202749","199.5","192","207","5.615692261733502","5.6117037991443315","5.619767405986786"
"27","215.5","208","223","6.000034986690742","5.995484294507327","6.004877885182698","215.5","208","223","0.39702056475175757","0.3965672029211484","0.39762887979547185","215.5","208","223","5.598008785933694","5.5937955630172285","5.6023577826994435"
"29","231.5","224","239","5.979302744944748","5.9744412465981505","5.984124802309891","231.5","224","239","0.394700665603776","0.3942549231779103","0.3950465439722456","231.5","224","239","5.5791517771398516","5.574640936045159","5.583728483010983"
"31","247.5","240","255","5.957296314912315","5.952113595727372","5.962503955248864","247.5","240","255","0.3923272310466081","0.3918273948176733","0.3927622256620276","247.5","240","255","5.559150038257421","5.55439213530658","5.564001850543484"
"33","263.5","256","271","5.934506138277026","5.928940974985477","5.940113616712166","263.5","256","271","0.39021594983738356","0.38964088582202216","0.39074998885167367","263.5","256","271","5.5381938775426125","5.533151201560791","5.5433231808922505"
"35","279.5","272","287","5.9102185388271575","5.904608853381613","5.9160392190728865","279.5","272","287","0.3879037960696778","0.38750421078308767","0.38839816717164855","279.5","272","287","5.51604373804243","5.51080736823704","5.521398261615208"
"37","295.5","288","303","5.885445757394751","5.879363854202446","5.891639239884712","295.5","288","303","0.3860746434135447","0.38552137482696547","0.3866630271580574","295.5","288","303","5.49302659256519","5.487490826030147","5.498638337528384"
"39","311.5","304","319","5.859252982590715","5.852988769937196","5.8654363720844955","311.5","304","319","0.3839974375010453","0.3835021977506706","0.3844061650049228","311.5","304","319","5.468915882523465","5.463153036174266","5.474682405973092"
"41","327.5","320","335","5.832327142826927","5.8259999350535","5.838757542575278","327.5","320","335","0.38210742192835245","0.38170458152112946","0.3825359368106214","327.5","320","335","5.443925680580258","5.438013221041456","5.449913902253639"
