"global_step","Group: general-distillation - _step","Group: general-distillation - _step__MIN","Group: general-distillation - _step__MAX","Group: general-distillation - rep_loss","Group: general-distillation - rep_loss__MIN","Group: general-distillation - rep_loss__MAX","Group: general-distillation-attn - _step","Group: general-distillation-attn - _step__MIN","Group: general-distillation-attn - _step__MAX","Group: general-distillation-attn - rep_loss","Group: general-distillation-attn - rep_loss__MIN","Group: general-distillation-attn - rep_loss__MAX","Group: general-distillation-rep - _step","Group: general-distillation-rep - _step__MIN","Group: general-distillation-rep - _step__MAX","Group: general-distillation-rep - rep_loss","Group: general-distillation-rep - rep_loss__MIN","Group: general-distillation-rep - rep_loss__MAX"
"1","7.5","0","15","91.54371511181243","91.53454895019532","91.5562498304579","7.5","0","15","91.54371511181243","91.53454895019532","91.5562498304579","7.5","0","15","91.54371511181243","91.53454895019532","91.5562498304579"
"3","23.5","16","31","91.5337412860821","91.52834719703311","91.53871393203735","23.5","16","31","91.54206369150332","91.53907962721222","91.54472785160459","23.5","16","31","91.53368748242556","91.5282687232608","91.53868881861369"
"5","39.5","32","47","91.50663766664844","91.49610965126439","91.51956577301026","39.5","32","47","91.54357181023542","91.54163811796455","91.54653444290162","39.5","32","47","91.5063898448046","91.49580086155942","91.51938457489014"
"7","55.5","48","63","91.4516892355544","91.43639073409433","91.4678235735212","55.5","48","63","91.54143355201998","91.53979867080162","91.54322002379875","55.5","48","63","91.45107412249533","91.43567369115634","91.4673193522862"
"9","71.5","64","79","91.37111164257489","91.34966863476255","91.3945852915446","71.5","64","79","91.53949288907043","91.53859989459698","91.54064671198527","71.5","64","79","91.36993367604707","91.34833934472042","91.39356538984511"
"11","87.5","80","95","91.26521038926629","91.23766203076427","91.2940826849504","87.5","80","95","91.53849516156535","91.53764465658422","91.53928093936857","87.5","80","95","91.26327184791516","91.23552532096184","91.29235193946145"
"13","103.5","96","111","91.1327914565817","91.09947403022527","91.16782118723943","103.5","96","111","91.53657391894438","91.53580294914966","91.53713538096501","103.5","96","111","91.12990683876168","91.09635432632514","91.16518130669228"
"15","119.5","112","127","90.97656445005256","90.93706341911765","91.01772686640422","119.5","112","127","91.53414392799426","91.53337451604408","91.53524134953817","119.5","112","127","90.97257987501236","90.93279760024127","91.01402972539266"
"17","135.5","128","143","90.79424820836911","90.75036488177469","90.84045732722564","135.5","128","143","91.5297746024182","91.52913044712","91.53064149968765","135.5","128","143","90.78901236477027","90.74482251210495","90.83553171157837"
"19","151.5","144","159","90.59336951217362","90.5444054917482","90.64414046940051","151.5","144","159","91.52925919595394","91.52882516538942","91.52974026479691","151.5","144","159","90.58676788345848","90.5374667128799","90.63788403962788"
